#Data file for KSVZ reprensentations
#Columns: q_3 | q_2 | 6 * q_1 | min dim | 36 * Dyn_3 | 36 * Dyn_2 | 36 * Dyn_1 | 36 * Cas_3 | 36 * Cas_2 | 36 * Cas_1
10 1 18 9 270 0 324 216 0 324
10 1 -18 9 270 0 324 216 0 324
3 2 -23 9 18 18 529 48 27 529
6 1 20 9 90 0 400 120 0 400
6 1 -22 9 90 0 484 120 0 484
3 1 22 9 18 0 484 48 0 484
3 1 -20 9 18 0 400 48 0 400
21 2 1 9 1260 18 1 480 27 1
8 1 18 9 108 0 324 108 0 324
35 1 -6 9 1890 0 36 432 0 36
