SU3,SU2,U1,lowest_dim,d3_ex,d4_ex,d5_ex,d6_ex,d7_ex,d8_ex,d9_ex,LP(mQ=1e17),E_num,E_den,N_num,N_den,LP(mQ=5e11),Nmax(mQ=5e11),Nmax(mQ=1e17),log10(mQmin (GeV))
152,2,1,7,,,,,q*G^2*QRd,3*qd*u*d*G*QLd,u^2*d^2*l*QRd,1.3460174053832003e+18,760,9,35,1,4435388487329.183,1,1,17
24,1,-2,7,,,,,3*d*G^2*QLd,dd^2*e*G*QLd,3*dd^2*e*G*p*QRd,7.466410082003292e+20,8,3,25,1,191673641639205.4,1,3,16
24,1,4,7,,,,,3*u*G^2*QLd,3*ud*dd*ed*G*QRd,7*ud*dd*ed*G*p*QLd,7.336201565529816e+20,32,3,25,1,190233876637850.53,1,3,16
24,2,1,7,,,,,3*q*G^2*QRd,dd^2*l*G*QRd,3*dd^2*l*G*p*QLd,5.457865874356344e+18,40,3,50,1,7295432448758.267,1,1,17
27,1,-6,7,,,,,2*e*G^2*QLd,e*G^2*p*QRd,4*e*G^2*p^2*QLd,2.8838624878645277e+20,27,1,27,1,114211785899468.12,1,3,16
27,1,6,7,,,,,2*ed*G^2*QRd,ed*G^2*p*QLd,4*ed*G^2*p^2*QRd,2.8838624878645277e+20,27,1,27,1,114211785899468.12,1,3,16
27,2,-3,7,,,,,2*l*G^2*QRd,l*G^2*p*QLd,4*l*G^2*p^2*QRd,3.9964590841837635e+18,27,1,54,1,5944191777980.37,1,1,17
27,2,3,7,,,,,2*ld*G^2*QLd,ld*G^2*p*QRd,4*ld*G^2*p^2*QLd,3.9964590841837635e+18,27,1,54,1,5944191777980.37,1,1,17
42,1,-2,7,,,,,2*d*G^2*QLd,d*G^2*p*QRd,4*d*G^2*p^2*QLd,2.469737655427127e+18,14,3,119,2,4217949977100.6885,1,1,17
42,1,4,7,,,,,2*u*G^2*QLd,u*G^2*p*QRd,4*u*G^2*p^2*QLd,2.4604443992668237e+18,56,3,119,2,4212652820863.122,1,1,17
3,3,-20,8,,,,,,hd^2*d*e^2*QLd,d*l^2*e^2*QLd,1.0094215030830815e+18,106,1,3,2,8819829636074.04,1,1,17
3,4,-17,8,,,,,,hd^2*d*l*e*QRd,qd*ud*l^2*e*QRd,1.1590594492406065e+18,334,3,2,1,10268255637006.367,1,1,17
6,1,-16,8,,,,,,ud*e^2*G*QRd,3*ud*e^2*G*p*QLd,2.0600935854028e+19,128,3,5,2,354799364865822.8,1,2,16
6,5,-10,8,,,,,,hd^2*qd^2*d*QLd,qd^2*d*l^2*QLd,1.7306206266700541e+18,430,3,25,2,7258853250360.605,1,1,17
10,1,-12,8,,,,,,2*ud*d*e*G*QRd,7*ud*d*e*G*p*QLd,3.218328191342973e+19,40,1,15,2,566244589568522.4,1,2,16
10,2,-9,8,,,,,,2*ud*d*l*G*QLd,7*ud*d*l*G*p*QRd,1.9615639251888546e+19,50,1,15,1,290176256631996.0,1,2,16
10,4,-9,8,,,,,,hd^2*q*d^2*QRd,qd^3*ud*d*QRd,1.49775209493787e+18,140,1,30,1,11879669765297.006,1,1,17
15,1,-14,8,,,,,,d*e^2*G*QLd,3*d*e^2*G*p*QRd,1.906448542260962e+18,245,3,10,1,18373068738465.6,1,1,17
24,1,-8,8,,,,,,2*ud*dd*e*G*QLd,7*ud*dd*e*G*p*QRd,2.3893851362382254e+19,128,3,25,1,177976552587742.94,1,2,16
24,1,10,8,,,,,,dd^2*ed*G*QRd,3*dd^2*ed*G*p*QLd,3.7062098936977756e+18,200,3,25,1,36627033304456.85,1,1,17
24,2,-5,8,,,,,,3*ud*dd*l*G*QRd,7*ud*dd*l*G*p*QLd,5.382940046419948e+18,136,3,50,1,7249737144199.705,1,1,17
24,2,7,8,,,,,,dd^2*ld*G*QLd,3*dd^2*ld*G*p*QRd,3.762522303803243e+18,232,3,50,1,7186244156761.716,1,1,17
24,3,-2,8,,,,,,2*qd*dd*l*G*QLd,8*d*W*G^2*QLd,1.2880989191975852e+18,56,1,75,1,2782634652843.174,1,1,17
24,3,4,8,,,,,,2*qd*dd*ld*G*QRd,8*u*W*G^2*QLd,1.2832519941852833e+18,80,1,75,1,2775649840379.5483,1,1,17
27,1,0,8,,,,,,4*ud*dd^2*G*QRd,10*ud*dd^2*G*p*QLd,3.512838952110662e+20,0,1,27,1,116971561231022.55,1,3,16
27,3,-6,8,,,,,,2*qd*d*l*G*QRd,4*e*W*G^2*QLd,1.0495206498722241e+18,135,1,81,1,2438663113432.2773,1,1,17
27,3,0,8,,,,,,3*qd*d*ld*G*QLd,7*qd*d*ld*G*p*QRd,1.0641290614372609e+18,54,1,81,1,2450952153970.032,1,1,17
