SU3,SU2,U1,lowest_dim,d3_ex,d4_ex,d5_ex,d6_ex,d7_ex,d8_ex,d9_ex,LP(mQ=1e17),E_num,E_den,N_num,N_den,LP(mQ=5e11),Nmax(mQ=5e11),Nmax(mQ=1e17),log10(mQmin (GeV))
10,1,0,6,,,,u*d^2*QLd,q^2*d*p*QRd,3*ud*dd^2*G*QRd,7*ud*dd^2*G*p*QLd,4.49159674586623e+40,0,1,15,2,2.3432141406953955e+30,1,11,12
10,1,6,6,,,,u^2*d*QLd,ed*G^2*QRd,3*ed*G^2*p*QLd,3*ed*G^2*p^2*QRd,6.835253669278419e+24,10,1,15,2,1.4698544202551164e+21,1,10,12
10,2,-3,6,,,,q*d^2*QRd,l*G^2*QRd,3*l*G^2*p*QLd,3*l*G^2*p^2*QRd,6.467573497485843e+24,10,1,15,1,8.217573132893061e+16,1,5,15
10,2,3,6,,,,q*u*d*QRd,ld*G^2*QLd,3*ld*G^2*p*QRd,3*ld*G^2*p^2*QLd,6.467573497485843e+24,10,1,15,1,8.217573132893061e+16,1,5,15
10,2,9,6,,,,q*u^2*QRd,h*u^2*d*QLd,2*u*dd*ld*G*QRd,7*u*dd*ld*G*p*QLd,1.9615639251888546e+19,50,1,15,1,290176256631996.0,1,2,16
10,3,0,6,,,,q^2*d*QLd,hd*q*u*d*QRd,u*d^2*W*QLd,3*u*d^2*W*p*QRd,2.6901900268806896e+21,20,1,45,2,500633581059252.5,1,3,16
10,3,6,6,,,,q^2*u*QLd,hd*q*u^2*QRd,u^2*d*W*QLd,4*ed*W*G^2*QRd,1.8459977538693176e+20,50,1,45,2,480901116646728.5,1,3,16
15,1,-8,6,,,,ud*d^2*QRd,hd*qd*d^2*QLd,d*l^2*G*QLd,4*d*l^2*G*p*QRd,4.725596711015693e+20,80,3,10,1,1.4041407491990154e+16,1,4,15
15,1,10,6,,,,u^2*dd*QRd,h*qd*u^2*QLd,3*dd^2*ed*G*QRd,7*dd^2*ed*G*p*QLd,2.88140165706317e+19,125,3,10,1,486982489485319.5,1,2,16
15,2,-5,6,,,,qd*d^2*QLd,q*ud*d*p*QRd,3*d*ld*e*G*QLd,7*d*ld*e*G*p*QRd,3.0812334663329896e+21,85,3,20,1,1852046867008042.5,1,4,15
15,2,7,6,,,,qd*u^2*QLd,q*u*dd*p*QRd,2*dd^2*ld*G*QLd,7*dd^2*ld*G*p*QRd,3.4141363498026815e+19,145,3,20,1,517911303235271.25,1,2,16
15,3,-2,6,,,,q*qd*d*QRd,3*d*W*G*QLd,4*d*W*G*p*QRd,7*d*W*G*p^2*QLd,8.533692406066921e+19,35,1,30,1,68915515785563.08,1,2,16
15,3,4,6,,,,q*qd*u*QRd,3*u*W*G*QLd,d*ld^2*G*QLd,3*d*ld^2*G*p*QRd,8.416541493311211e+19,50,1,30,1,68483860019472.15,1,2,16
15,4,1,6,,,,q^2*qd*QLd,3*q*W*G*QRd,3*qd*u*d*W*QLd,qd*d^2*ld^2*QLd,1.314260065461215e+18,230,3,40,1,4396543483723.237,1,1,17
3,2,-17,7,,,,,hd*d*e^2*QLd,hd*d*e^2*p*QRd,d*l^3*e*QRd,1.157137441417788e+19,149,3,1,1,178648781431531.7,1,2,16
3,2,19,7,,,,,h*u*ed^2*QLd,h*u*ed^2*p*QRd,u*ld^3*ed*QRd,4.446974416326832e+18,185,3,1,1,55449958194193.15,1,1,17
3,3,-14,7,,,,,hd*d*l*e*QRd,d*e^2*W*QLd,3*d*e^2*W*p*QRd,1.1940674128550193e+19,55,1,3,2,180227206070022.66,1,2,16
3,3,16,7,,,,,h*u*ld*ed*QRd,u*ed^2*W*QLd,dd^2*ld^2*ed*QRd,3.926763875538234e+18,70,1,3,2,46446140028864.125,1,1,17
3,5,-14,7,,,,,hd^4*d*QLd,hd^2*d*l^2*QLd,qd^2*l^2*e*QLd,1.8244149718799816e+18,335,3,5,2,17254163134851.29,1,1,17
3,6,-11,7,,,,,hd^4*q*QRd,hd^2*q*l^2*QRd,hd*d*l^2*W*QLd,3.264439732590205e+18,113,1,3,1,10038598028035.35,1,1,17
